id,serviceScore, shiftStartTime, shiftEndTime,shiftDuration,currentLat,currentLon,headingLat,headingLon,available,emptyCarMode,currentServePaxId,timeUntilAvailable,online, number of served pax,totIncome,avg income per pax
2192,77,14,7777,7763,1062,6196,-1,-1,true,2,-1,-100,true,0,0,NaN
3804,304,16,7829,7813,0,401,-1,-1,true,2,-1,-100,true,0,0,NaN
11910,98,276,7512,7236,4921,3753,-1,-1,true,2,-1,-100,true,0,0,NaN
2189,35,615,8537,7922,360,836,-1,-1,true,2,-1,-100,true,0,0,NaN
10486,162,815,9501,8686,5004,1502,-1,-1,true,2,-1,-100,true,0,0,NaN
10455,104,940,8583,7643,1302,893,-1,-1,true,2,-1,-100,true,0,0,NaN
8448,270,957,8336,7379,676,600,-1,-1,true,2,-1,-100,true,0,0,NaN
4806,10,1233,9933,8700,606,6667,-1,-1,true,2,-1,-100,true,0,0,NaN
7223,46,1303,10052,8749,840,0,-1,-1,true,2,-1,-100,true,0,0,NaN
6641,110,1419,9638,8219,992,174,-1,-1,true,2,-1,-100,true,0,0,NaN
11960,52,1438,10058,8620,1459,7561,-1,-1,true,2,-1,-100,true,0,0,NaN
8768,113,1450,8786,7336,1164,6969,-1,-1,true,2,-1,-100,true,0,0,NaN
4062,129,1534,9019,7485,1734,106,-1,-1,true,2,-1,-100,true,0,0,NaN
2553,53,1535,9865,8330,581,926,-1,-1,true,2,-1,-100,true,0,0,NaN
1046,97,1635,9103,7468,215,786,-1,-1,true,2,-1,-100,true,0,0,NaN
5419,112,1651,10008,8357,96,120,-1,-1,true,2,-1,-100,true,0,0,NaN
11200,147,1731,9464,7733,315,1476,-1,-1,true,2,-1,-100,true,0,0,NaN
8633,51,1745,10023,8278,454,1522,-1,-1,true,2,-1,-100,true,0,0,NaN
4138,126,1841,9870,8029,3195,5470,-1,-1,true,2,-1,-100,true,0,0,NaN
11776,298,1944,9326,7382,480,7517,-1,-1,true,2,-1,-100,true,0,0,NaN
11228,75,1948,9617,7669,550,966,-1,-1,true,2,-1,-100,true,0,0,NaN
3318,36,1967,10114,8147,584,298,-1,-1,true,2,-1,-100,true,0,0,NaN
9520,66,1994,9392,7398,2014,270,-1,-1,true,2,-1,-100,true,0,0,NaN
11463,124,2001,9253,7252,2975,360,-1,-1,true,2,-1,-100,true,0,0,NaN
128,57,2004,10919,8915,4324,7251,-1,-1,true,2,-1,-100,true,0,0,NaN
4188,101,0,8025,8025,372,574,-1,-1,true,2,-1,0,true,3,221,73.66666666666667
10336,34,2031,10387,8356,786,895,-1,-1,true,2,-1,-100,true,0,0,NaN
5302,73,2040,9924,7884,720,577,-1,-1,true,2,-1,-100,true,0,0,NaN
3758,49,2053,10900,8847,1361,1367,-1,-1,true,2,-1,-100,true,0,0,NaN
10468,51,2135,9536,7401,1094,885,-1,-1,true,2,-1,-100,true,0,0,NaN
8766,68,2143,10074,7931,480,1143,-1,-1,true,2,-1,-100,true,0,0,NaN
10490,4,2186,9885,7699,1889,0,-1,-1,true,2,-1,-100,true,0,0,NaN
8648,53,2215,10076,7861,736,857,-1,-1,true,2,-1,-100,true,0,0,NaN
9918,170,2236,11118,8882,0,1103,-1,-1,true,2,-1,-100,true,0,0,NaN
630,48,1876,10861,8985,1115,256,-1,-1,true,2,-1,0,true,1,159,159.0
10894,116,2302,10258,7956,2802,4629,-1,-1,true,2,-1,-100,true,0,0,NaN
3561,58,2334,11244,8910,0,212,-1,-1,true,2,-1,-100,true,0,0,NaN
4721,66,2335,10087,7752,120,186,-1,-1,true,2,-1,-100,true,0,0,NaN
9041,54,2345,10373,8028,1889,1161,-1,-1,true,2,-1,-100,true,0,0,NaN
